"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077106","BSU00380","NP_387919.1","methionyl-tRNA synthetase","58531","Escherichia coli 536","110642322","ECP_2152","WP_001297896.1","methionyl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077107","BSU00390","NP_387920.1","metal-dependent DNase","58531","Escherichia coli 536","110641276","ECP_1092","WP_000480245.1","putative metallodependent hydrolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077110","BSU00420","NP_387923.1","dimethyladenosine transferase","58531","Escherichia coli 536","110640266","ECP_0053","WP_001065363.1","dimethyladenosine transferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077114","BSU00460","NP_387927.1","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","58531","Escherichia coli 536","110641438","ECP_1256","WP_001260346.1","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077116","BSU00480","NP_387929.1","hypothetical protein","58531","Escherichia coli 536","110643359","ECP_3206","WP_000719990.1","hypothetical protein","1","","ECP_4493[putative endoribonuclease L-PSP]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077116","BSU00480","NP_387929.1","hypothetical protein","58531","Escherichia coli 536","110644605","ECP_4493","WP_000047539.1","putative endoribonuclease L-PSP","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077118","BSU00500","NP_387931.1","bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase","58531","Escherichia coli 536","110644071","ECP_3929","WP_000933716.1","bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077119","BSU00510","NP_387932.1","ribose-phosphate pyrophosphokinase","58531","Escherichia coli 536","110641437","ECP_1255","WP_001298109.1","ribose-phosphate pyrophosphokinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077120","BSU00520","NP_387933.1","50S ribosomal protein L25/general stress protein Ctc","58531","Escherichia coli 536","110642396","ECP_2226","WP_000494186.1","50S ribosomal protein L25","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077121","BSU00530","NP_387934.1","peptidyl-tRNA hydrolase","58531","Escherichia coli 536","110641434","ECP_1252","WP_000152933.1","peptidyl-tRNA hydrolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077123","BSU00550","NP_387936.1","transcription-repair coupling factor","58531","Escherichia coli 536","110641290","ECP_1106","WP_001298470.1","transcription-repair coupling factor","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077126","BSU00580","NP_387939.1","fusion methylase and nucleotide pyrophosphohydrolase","58531","Escherichia coli 536","110642922","ECP_2762","WP_001071648.1","nucleoside triphosphate pyrophosphohydrolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077127","BSU00590","NP_387940.1","ribosomal RNA binding protein; heat shock protein","58531","Escherichia coli 536","110643633","ECP_3486","WP_000660483.1","ribosome-associated heat shock protein Hsp15","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077135","BSU00670","NP_387948.1","tRNAile lysidine synthetase","58531","Escherichia coli 536","110640407","ECP_0196","WP_000176517.1","tRNA(Ile)-lysidine synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077136","BSU00680","NP_387949.1","hypoxanthine-guanine phosphoribosyltransferase","58531","Escherichia coli 536","110640344","ECP_0133","YP_668072.1","hypoxanthine phosphoribosyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077137","BSU00690","NP_387950.1","cell-division protein and general stress protein","58531","Escherichia coli 536","110643418","ECP_3265","WP_001107467.1","ATP-dependent metalloprotease","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077139","BSU00710","NP_387952.1","Hsp33-like chaperonin","58531","Escherichia coli 536","110643634","ECP_3487","WP_001135574.1","Hsp33-like chaperonin","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077140","BSU00720","NP_387953.1","protein secretion PrsA","58531","Escherichia coli 536","110640702","ECP_0502","WP_000969372.1","peptidyl-prolyl cis-trans isomerase (rotamase D)","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077141","BSU00730","NP_387954.1","cysteine synthase","58531","Escherichia coli 536","110642598","ECP_2438","WP_000034402.1","cysteine synthase A","1","BSU29970[cysteine synthase-like protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077142","BSU00740","NP_387955.1","4-amino-4-deoxychorismate synthase","58531","Escherichia coli 536","110641929","ECP_1755","WP_000855001.1","para-aminobenzoate synthase component I","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077143","BSU00750","NP_387956.1","para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II","58531","Escherichia coli 536","110643600","ECP_3451","WP_000601853.1","para-aminobenzoate synthase component II","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077144","BSU00760","NP_387957.1","4-amino-4-deoxychorismate lyase","58531","Escherichia coli 536","110641272","ECP_1088","WP_000478685.1","4-amino-4-deoxychorismate lyase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077145","BSU00770","NP_387958.1","dihydropteroate synthase","58531","Escherichia coli 536","110643417","ECP_3264","WP_000764731.1","dihydropteroate synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077146","BSU00780","NP_387959.1","dihydroneopterin aldolase","58531","Escherichia coli 536","110643302","ECP_3148","WP_001295541.1","bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077147","BSU00790","NP_387960.1","7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase","58531","Escherichia coli 536","110640363","ECP_0152","WP_000215149.1","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077149","BSU00810","NP_387962.1","tRNA-dihydrouridine synthase B","58531","Escherichia coli 536","110643504","ECP_3353","WP_001219652.1","tRNA-dihydrouridine synthase B","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077150","BSU00820","NP_387963.1","lysyl-tRNA synthetase","58531","Escherichia coli 536","110644488","ECP_4373","WP_000003805.1","lysyl-tRNA synthetase","2","","ECP_0325[lysyl-tRNA synthetase, heat inducible];ECP_2883[lysyl-tRNA synthetase]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077150","BSU00820","NP_387963.1","lysyl-tRNA synthetase","58531","Escherichia coli 536","110640530","ECP_0325","WP_001298165.1","lysyl-tRNA synthetase, heat inducible","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077150","BSU00820","NP_387963.1","lysyl-tRNA synthetase","58531","Escherichia coli 536","110643038","ECP_2883","WP_000003071.1","lysyl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077154","BSU00860","NP_387967.1","class III stress response-related ATPase","58531","Escherichia coli 536","110642755","ECP_2595","WP_001235102.1","protein disaggregation chaperone","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077155","BSU00870","NP_387968.1","DNA repair protein RadA","58531","Escherichia coli 536","110644826","ECP_4773","WP_001298501.1","DNA repair protein RadA","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077158","BSU00900","NP_387971.1","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","58531","Escherichia coli 536","110642889","ECP_2729","WP_000246149.1","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077159","BSU00910","NP_387972.1","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","58531","Escherichia coli 536","110642888","ECP_2728","WP_001219252.1","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077160","BSU00920","NP_387973.1","glutamyl-tRNA synthetase","58531","Escherichia coli 536","110642586","ECP_2422","WP_000695633.1","glutamyl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077161","BSU00930","NP_387974.1","serine acetyltransferase","58531","Escherichia coli 536","110643851","ECP_3708","WP_001277561.1","serine acetyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077162","BSU00940","NP_387975.1","cysteinyl-tRNA synthetase","58531","Escherichia coli 536","110640787","ECP_0587","WP_000912341.1","cysteinyl-tRNA synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077164","BSU00960","NP_387977.1","23S rRNA methyltransferase","58531","Escherichia coli 536","110644537","ECP_4425","WP_001293282.1","23S rRNA (guanosine-2'-O-)-methyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077169","BSU01010","NP_387982.1","transcription antitermination protein NusG","58531","Escherichia coli 536","110644317","ECP_4195","WP_001287521.1","transcription antitermination protein NusG","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767019","BSU01020","NP_387983.2","50S ribosomal protein L11","58531","Escherichia coli 536","110644318","ECP_4196","WP_001085926.1","50S ribosomal protein L11","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767020","BSU01030","NP_387984.2","50S ribosomal protein L1","58531","Escherichia coli 536","110644319","ECP_4197","WP_001096684.1","50S ribosomal protein L1","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767021","BSU01040","NP_387985.2","50S ribosomal protein L10","58531","Escherichia coli 536","110644320","ECP_4198","WP_001207201.1","50S ribosomal protein L10","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077173","BSU01050","NP_387986.1","50S ribosomal protein L7/L12","58531","Escherichia coli 536","110644321","ECP_4199","WP_000028878.1","50S ribosomal protein L7/L12","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077174","BSU01060","NP_387987.1","ribosomal RNA methyltransferase","58531","Escherichia coli 536","110643328","ECP_3175","WP_000018673.1","putative ribosomal RNA small subunit methyltransferase D","1","","ECP_4754[16S ribosomal RNA m2G1207 methyltransferase]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077174","BSU01060","NP_387987.1","ribosomal RNA methyltransferase","58531","Escherichia coli 536","110644807","ECP_4754","WP_001272356.1","16S ribosomal RNA m2G1207 methyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767022","BSU01070","NP_387988.2","DNA-directed RNA polymerase subunit beta","58531","Escherichia coli 536","110644322","ECP_4200","WP_011579297.1","DNA-directed RNA polymerase subunit beta","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767023","BSU01080","NP_387989.2","DNA-directed RNA polymerase subunit beta'","58531","Escherichia coli 536","110644323","ECP_4201","WP_000653950.1","DNA-directed RNA polymerase subunit beta'","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767024","BSU01100","NP_387991.2","30S ribosomal protein S12","58531","Escherichia coli 536","110643583","ECP_3432","WP_011579218.1","30S ribosomal protein S12","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767025","BSU01110","NP_387992.2","30S ribosomal protein S7","58531","Escherichia coli 536","110643582","ECP_3431","WP_001138043.1","30S ribosomal protein S7","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767026","BSU01120","NP_387993.2","elongation factor G","58531","Escherichia coli 536","110643581","ECP_3430","WP_000124700.1","elongation factor G","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077181","BSU01130","NP_387994.1","elongation factor Tu","58531","Escherichia coli 536","110643580","ECP_3429","WP_000031783.1","elongation factor Tu","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077181","BSU01130","NP_387994.1","elongation factor Tu","58531","Escherichia coli 536","110644315","ECP_4193","WP_000031784.1","elongation factor Tu","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077183","BSU01150","NP_387996.1","30S ribosomal protein S10","58531","Escherichia coli 536","110643560","ECP_3409","WP_001181004.1","30S ribosomal protein S10","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077184","BSU01160","NP_387997.1","50S ribosomal protein L3","58531","Escherichia coli 536","110643559","ECP_3408","WP_000579833.1","50S ribosomal protein L3","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077185","BSU01170","NP_387998.1","50S ribosomal protein L4","58531","Escherichia coli 536","110643558","ECP_3407","WP_000424395.1","50S ribosomal protein L4","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767029","BSU01190","NP_388000.2","50S ribosomal protein L2","58531","Escherichia coli 536","110643556","ECP_3405","WP_000301864.1","50S ribosomal protein L2","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077188","BSU01200","NP_388001.1","30S ribosomal protein S19","58531","Escherichia coli 536","110643555","ECP_3404","WP_001138117.1","30S ribosomal protein S19","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077189","BSU01210","NP_388002.1","50S ribosomal protein L22","58531","Escherichia coli 536","110643554","ECP_3403","WP_000447529.1","50S ribosomal protein L22","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767030","BSU01220","NP_388003.2","30S ribosomal protein S3","58531","Escherichia coli 536","110643553","ECP_3402","WP_000529945.1","30S ribosomal protein S3","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077191","BSU01230","NP_388004.1","50S ribosomal protein L16","58531","Escherichia coli 536","110643552","ECP_3401","WP_000941212.1","50S ribosomal protein L16","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077192","BSU01240","NP_388005.1","50S ribosomal protein L29","58531","Escherichia coli 536","110643551","ECP_3400","WP_000644741.1","50S ribosomal protein L29","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077193","BSU01250","NP_388006.1","30S ribosomal protein S17","58531","Escherichia coli 536","110643550","ECP_3399","WP_000130100.1","30S ribosomal protein S17","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077194","BSU01260","NP_388007.1","50S ribosomal protein L14","58531","Escherichia coli 536","110643549","ECP_3398","WP_000613956.1","50S ribosomal protein L14","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077195","BSU01270","NP_388008.1","50S ribosomal protein L24","58531","Escherichia coli 536","110643548","ECP_3397","WP_000729186.1","50S ribosomal protein L24","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077196","BSU01280","NP_388009.1","50S ribosomal protein L5","58531","Escherichia coli 536","110643547","ECP_3396","WP_001096200.1","50S ribosomal protein L5","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767031","BSU01300","NP_388011.2","30S ribosomal protein S8","58531","Escherichia coli 536","110643545","ECP_3394","WP_000062611.1","30S ribosomal protein S8","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077199","BSU01310","NP_388012.1","50S ribosomal protein L6","58531","Escherichia coli 536","110643544","ECP_3393","WP_000091945.1","50S ribosomal protein L6","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767032","BSU01320","NP_388013.2","50S ribosomal protein L18","58531","Escherichia coli 536","110643543","ECP_3392","WP_000358960.1","50S ribosomal protein L18","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077201","BSU01330","NP_388014.1","30S ribosomal protein S5","58531","Escherichia coli 536","110643542","ECP_3391","WP_000940121.1","30S ribosomal protein S5","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077202","BSU01340","NP_388015.1","50S ribosomal protein L30","58531","Escherichia coli 536","110643541","ECP_3390","WP_001140433.1","50S ribosomal protein L30","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077204","BSU01360","NP_388017.1","preprotein translocase subunit SecY","58531","Escherichia coli 536","110643539","ECP_3388","WP_001118861.1","preprotein translocase subunit SecY","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077205","BSU01370","NP_388018.1","adenylate kinase","58531","Escherichia coli 536","110640735","ECP_0535","WP_001313630.1","adenylate kinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077206","BSU01380","NP_388019.1","methionine aminopeptidase","58531","Escherichia coli 536","110640387","ECP_0176","WP_001018194.1","methionine aminopeptidase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077207","BSU01390","NP_388020.1","translation initiation factor IF-1","58531","Escherichia coli 536","110641084","ECP_0898","WP_001040187.1","translation initiation factor IF-1","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077208","BSU01400","NP_388021.1","50S ribosomal protein L36","58531","Escherichia coli 536","110643538","ECP_3387","WP_000868187.1","50S ribosomal protein L36","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767034","BSU01410","NP_388022.2","30S ribosomal protein S13","58531","Escherichia coli 536","110643537","ECP_3386","WP_000090775.1","30S ribosomal protein S13","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077210","BSU01420","NP_388023.1","30S ribosomal protein S11","58531","Escherichia coli 536","110643536","ECP_3385","WP_001029684.1","30S ribosomal protein S11","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077211","BSU01430","NP_388024.1","DNA-directed RNA polymerase subunit alpha","58531","Escherichia coli 536","110643534","ECP_3383","WP_001162094.1","DNA-directed RNA polymerase subunit alpha","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077212","BSU01440","NP_388025.1","50S ribosomal protein L17","58531","Escherichia coli 536","110643533","ECP_3382","WP_001216368.1","50S ribosomal protein L17","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767037","BSU01480","NP_388029.2","tRNA pseudouridine synthase A","58531","Escherichia coli 536","110642522","ECP_2357","WP_001283598.1","tRNA pseudouridine synthase A","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767038","BSU01490","NP_388030.2","50S ribosomal protein L13","58531","Escherichia coli 536","110643465","ECP_3314","WP_000847559.1","50S ribosomal protein L13","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077218","BSU01500","NP_388031.1","30S ribosomal protein S9","58531","Escherichia coli 536","110643464","ECP_3313","WP_000829818.1","30S ribosomal protein S9","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077222","BSU01540","NP_388035.1","Mrp family regulator","58531","Escherichia coli 536","110642321","ECP_2151","WP_001005448.1","putative ATPase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077230","BSU01620","NP_388043.1","iron-uptake protein","58531","Escherichia coli 536","110640821","ECP_0622","WP_001298333.1","iron-enterobactin transporter membrane protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077234","BSU01660","NP_388047.1","beta-hexosaminidase, lipoprotein","58531","Escherichia coli 536","110641283","ECP_1099","WP_000529298.1","beta-hexosaminidase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077237","BSU01690","NP_388050.1","transcriptional regulator","58531","Escherichia coli 536","110641971","ECP_1797","WP_001056695.1","DNA-binding transcriptional regulator HexR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077238","BSU01700","NP_388051.1","N-acetylmuramic acid-6-phosphate etherase","58531","Escherichia coli 536","110642610","ECP_2450","WP_001175629.1","N-acetylmuramic acid-6-phosphate etherase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077241","BSU01730","NP_388054.1","RNA polymerase sigma factor SigW","58531","Escherichia coli 536","110642735","ECP_2575","WP_001295364.1","RNA polymerase sigma factor RpoE","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077245","BSU01770","NP_388058.1","phosphoglucosamine mutase","58531","Escherichia coli 536","110643416","ECP_3263","WP_000071137.1","phosphoglucosamine mutase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077246","BSU01780","NP_388059.1","glucosamine--fructose-6-phosphate aminotransferase","58531","Escherichia coli 536","110644070","ECP_3928","WP_000334083.1","glucosamine--fructose-6-phosphate aminotransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077248","BSU01800","NP_388061.1","DNA-3-methyladenine glycosylase","58531","Escherichia coli 536","110642278","ECP_2108","WP_000288392.1","3-methyl-adenine DNA glycosylase II","1","BSU08010[DNA-modified purine glycosidase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077249","BSU01810","NP_388062.1","methylphosphotriester-DNA alkyltransferase and transcriptional regulator","58531","Escherichia coli 536","110642423","ECP_2256","WP_000786369.1","ADA regulatory protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077275","BSU02060","NP_388088.1","amino acid permease","58531","Escherichia coli 536","110644122","ECP_3987","WP_000774735.1","putative transport protein YifK","","","",""
